region,title,view_num,danmu,upload_time,up_author,bvid,video_url
环球,拜登在国情咨文演讲中谈俄乌局势 乌克兰议员：令人彻底失望,1.4万,16,2022-03-03,CGTN,BV1vY411G74R,www.bilibili.com/video/BV1vY411G74R?from=search
热点,普京下令俄军行动 喊话乌军“放下武器回家”,112.8万,761,2022-02-24,看看新闻Knews,BV1Rq4y1x7qH,www.bilibili.com/video/BV1Rq4y1x7qH?from=search
环球,在乌中国留学生感染新冠又遇俄乌冲突：我们不是生活在一个和平的年代，只是以前我一直生活在一个和平的国家,5.3万,16,2022-02-26,新民晚报,BV19a411C7iS,www.bilibili.com/video/BV19a411C7iS?from=search
热点,3月3日俄乌局势梳理,10.7万,790,2022-03-03,观察者网,BV1ja411h7dz,www.bilibili.com/video/BV1ja411h7dz?from=search
热点,俄 乌 第 二 轮 谈 判 地 点 成 谜 ？,8557,7,2022-03-03,新华网,BV1Qr4y1z7zS,www.bilibili.com/video/BV1Qr4y1z7zS?from=search
环球,王毅应约同乌外长通电话，王毅：中方对乌俄爆发冲突感到痛惜,17.3万,41,2022-03-01,环球网,BV1fi4y1y79k,www.bilibili.com/video/BV1fi4y1y79k?from=search
综合,俄乌冲突，最抢眼的一幕曝光，乌克兰占尽了上风，俄可能一败涂地,3.6万,167,2022-02-28,石宏主编,BV1gL4y137yi,www.bilibili.com/video/BV1gL4y137yi?from=search
综合,俄乌战火将波及全球？俄外交部撂下了一句狠话，北约30国紧急行动,2814,5,2022-03-03,石宏主编,BV1dr4y1z71a,www.bilibili.com/video/BV1dr4y1z71a?from=search
环球,俄罗斯代表团已抵达！第二轮俄乌会谈即将开始,1.3万,7,2022-03-03,青蜂侠-Bee,BV1wL411N7ht,www.bilibili.com/video/BV1wL411N7ht?from=search
热点,俄方发布蛇岛投降乌军视频，此前被宣称“全体殉国”,81.4万,642,2022-02-26,国防时报TV,BV1NR4y157Ut,www.bilibili.com/video/BV1NR4y157Ut?from=search
热点,俄乌谈判5小时都谈了些什么,28.6万,185,2022-03-01,人民日报,BV1Dm4y1R7ku,www.bilibili.com/video/BV1Dm4y1R7ku?from=search
环球,因俄乌问题发生争吵！乌克兰记者与议员在直播中大打出手,119.5万,423,2022-02-19,环球网,BV1234y1C7ZJ,www.bilibili.com/video/BV1234y1C7ZJ?from=search
环球,快讯！俄乌双方已找到未来达成共识的要点,34.7万,207,2022-03-01,共青团中央,BV17R4y1G7uq,www.bilibili.com/video/BV17R4y1G7uq?from=search
人文历史,古巴表态：俄乌冲突 根在美国！,1.1万,112,2022-02-28,咕噜是个老猫娃,BV1TP4y1g7sW,www.bilibili.com/video/BV1TP4y1g7sW?from=search
综合,俄乌谈崩了，普京一声令下，大批俄军出动，准备24小时内拿下基辅,6.1万,108,2022-03-01,石宏主编,BV1qm4y1R7M9,www.bilibili.com/video/BV1qm4y1R7M9?from=search
热点,俄乌第二轮谈判地点成谜？记者直击原定谈判点别洛韦日森林,5095,2,2022-03-03,新华社快看,BV1GL411N7bE,www.bilibili.com/video/BV1GL411N7bE?from=search
环球,乌方称乌空军一上校在空战中丧生，俄媒：系被乌防空系统击落,29.3万,300,2022-03-01,环球网,BV1Qr4y1z7wS,www.bilibili.com/video/BV1Qr4y1z7wS?from=search
环球,俄乌冲突“重大拐点”已出现！莫斯科可能做出更大胆的决定,87.2万,4815,2022-02-27,上观-大局观,BV1ji4y1y7MM,www.bilibili.com/video/BV1ji4y1y7MM?from=search
热点,德国下定决心入局俄乌！普京开启核武战备，乌克兰走出最错误一步,33.7万,763,2022-02-28,评论员李炜,BV16i4y1y7AC,www.bilibili.com/video/BV16i4y1y7AC?from=search
环球,普京出兵：剧变5.5小时，俄乌发生了什么？,63.3万,1649,2022-02-25,共青团中央,BV1XL4y1g7ug,www.bilibili.com/video/BV1XL4y1g7ug?from=search
明星综合,打脸公知！俄乌局势上演最意外一幕，吴京《战狼2》拍的“保守”了,10.2万,134,2022-02-25,商圈第一线,BV1d3411L7ma,www.bilibili.com/video/BV1d3411L7ma?from=search
